true_class,predicted_class,count,true_class_total,true_class_error_rate
Fear,Sad,186,1461,0.1273100616016427
Angry,Sad,167,1720,0.09709302325581395
Sad,Neutral,142,2474,0.05739692805173808
Sad,Angry,98,2474,0.039611964430072755
Neutral,Sad,96,605,0.15867768595041323
Sad,Happy,92,2474,0.037186742118027485
Sad,Fear,89,2474,0.03597413096200485
Fear,Angry,72,1461,0.049281314168377825
Happy,Sad,66,3328,0.019831730769230768
Angry,Fear,64,1720,0.037209302325581395
Fear,Surprise,52,1461,0.03559206023271732
Angry,Happy,44,1720,0.02558139534883721
Surprise,Fear,35,1420,0.02464788732394366
Angry,Neutral,33,1720,0.01918604651162791
Surprise,Sad,32,1420,0.022535211267605635
Surprise,Happy,29,1420,0.020422535211267606
Surprise,Neutral,29,1420,0.020422535211267606
Happy,Neutral,25,3328,0.007512019230769231
Happy,Surprise,25,3328,0.007512019230769231
Happy,Angry,23,3328,0.006911057692307692
Fear,Happy,21,1461,0.014373716632443531
Neutral,Happy,20,605,0.03305785123966942
Surprise,Angry,18,1420,0.01267605633802817
Angry,Surprise,17,1720,0.009883720930232558
Happy,Fear,16,3328,0.004807692307692308
Neutral,Surprise,14,605,0.023140495867768594
Sad,Surprise,12,2474,0.004850444624090542
Neutral,Angry,10,605,0.01652892561983471
Fear,Neutral,1,1461,0.0006844626967830253
Neutral,Fear,1,605,0.001652892561983471
